"","time","S","I","R","Total","Diff_S","Diff_I","Diff_R","Diff_Total"
"156",156,33.4129776345431,0.158749304534704,66.4282730609222,66.5870223654569,-27.4442992109533,-0.0822164745382662,27.5265156854914,27.4442992109532
"157",157,33.4078344272277,0.148533995268177,66.4436315775042,66.5921655727723,-27.4404715147775,-0.0780332110349274,27.5185047258123,27.4404715147774
"158",158,33.4030236361477,0.138974641799709,66.4580017220526,66.5969763638523,-27.4368722920622,-0.0740307249516893,27.5109030170138,27.4368722920622
"159",159,33.3985237334994,0.130029296618083,66.4714469698826,66.6014762665006,-27.4334882424196,-0.0702044639558914,27.5036927063754,27.4334882424196
"160",160,33.3943145910164,0.121658672963848,66.4840267360198,66.6056854089836,-27.4303068115683,-0.0665495992351406,27.4968564108033,27.4303068115682
"161",161,33.3903773883178,0.113825978792347,66.4957966328899,66.6096226116822,-27.4273161519104,-0.063061089307025,27.4903772412172,27.4273161519103
"162",162,33.386694527341,0.106496760750258,66.5068087119088,66.613305472659,-27.4245050849686,-0.0597337359871988,27.4842388209557,27.4245050849686
"163",163,33.3832495524451,0.0996387576077182,66.5171116899472,66.6167504475549,-27.4218630656192,-0.0565622333249153,27.478425298944,27.4218630656192
"164",164,33.3800270758005,0.0932217626115886,66.526751161588,66.6199729241995,-27.4193801480533,-0.0535412102369862,27.4729213582901,27.4193801480532
"165",165,33.3770127077068,0.0872174942497757,66.5357697980435,66.6229872922932,-27.4170469534029,-0.0506652675010221,27.4677122209038,27.4170469534029
"166",166,33.3741929915059,0.0815994749431734,66.5442075335509,66.6258070084941,-27.4148546389656,-0.0479290097075731,27.462783648673,27.4148546389656
"167",167,33.3715553427826,0.076342917204519,66.5521017400129,66.6284446572174,-27.412794868963,-0.0453270727119317,27.4581219416748,27.412794868963
"168",168,33.3690879925637,0.0714246168271499,66.5594873906092,66.6309120074363,-27.4108597867711,-0.0428541470742932,27.4537139338453,27.4108597867711
